y	half_px	Z	o_halfwidth_m
2680	817.50	19.704	65.167
2664	560.50	22.257	47.750
2656	555.00	22.955	47.378
2640	544.50	24.356	46.665
2608	523.00	27.196	45.186
2592	512.50	28.631	44.456
2584	507.50	29.351	44.107
2576	502.00	30.078	43.720
2568	496.50	30.808	43.331
2560	491.50	31.537	42.978
2544	480.50	33.011	42.192
2536	475.50	33.749	41.835
2520	465.50	35.233	41.116
2512	460.00	35.984	40.716
2504	455.00	36.733	40.353
2496	449.50	37.490	39.950
2488	444.50	38.246	39.584
2480	439.00	39.009	39.178
2472	433.50	39.776	38.769
2464	428.50	40.541	38.399
2456	423.50	41.309	38.026
2448	418.00	42.085	37.613
2440	412.50	42.865	37.198
2432	407.50	43.643	36.821
2424	402.00	44.429	36.403
2416	397.50	45.207	36.063
2408	393.50	45.981	35.762
2400	389.50	46.758	35.461
2392	387.50	47.512	35.321
2384	386.00	48.262	35.221
2376	385.00	49.006	35.161
2368	385.00	49.738	35.184
2360	385.00	50.471	35.206
2352	385.50	51.197	35.269
2344	388.00	51.896	35.495
2336	392.00	52.574	35.843
2328	394.50	53.272	36.068
2320	389.00	54.089	35.643
2312	386.00	54.872	35.421
2304	382.50	55.665	35.157
2296	382.50	56.405	35.179
2288	379.50	57.194	34.955
2280	379.00	57.946	34.936
2272	379.00	58.690	34.958
2264	384.00	59.353	35.391
2256	387.50	60.040	35.701
2248	312.00	62.084	29.394
2240	308.50	62.910	29.113
2232	305.00	63.739	28.831
2224	301.50	64.570	28.547
2216	298.00	65.404	28.263
2208	295.00	66.232	28.022
2200	292.00	67.062	27.779
2192	289.00	67.895	27.536
2184	286.00	68.730	27.292
2176	283.00	69.568	27.048
2168	280.00	70.408	26.802
2160	277.50	71.241	26.600
2152	274.00	72.097	26.309
2144	271.50	72.934	26.106
2136	268.00	73.796	25.813
2128	265.00	74.649	25.564
2120	262.00	75.505	25.314
2112	259.50	76.353	25.107
2104	256.50	77.214	24.856
2096	254.00	78.067	24.649
2088	250.50	78.945	24.351
2080	248.50	79.791	24.187
2072	245.50	80.663	23.933
2064	242.50	81.538	23.677
2056	240.00	82.403	23.467
2048	237.50	83.271	23.255
2040	235.00	84.141	23.043
2032	232.00	85.026	22.785
2024	230.00	85.889	22.618
2016	227.00	86.779	22.358
